TaxonID,Scientific Name,Scientific_name_database,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,Nocturnal,BodyMass-Value,Body_length_HBW,Body_mass_HBW,Breeding_HBW,Movement_patt_HBW
6006,Casuarius unappendiculatus,Casuarius unappendiculatus,Northern Cassowary,20,0,0,0,10,0,60,0,0,10,0,0,80,20,0,0,0,0,46073.85,135,34650,N,Not a Migrant
60012,Tinamus solitarius,Tinamus solitarius,Solitary Tinamou,20,0,0,0,0,0,40,0,20,20,0,0,100,0,0,0,0,0,1386.41,NA,NA,NA,NA
60014,Tinamus major,Tinamus major,Great Tinamou,20,0,10,0,0,0,40,0,30,0,0,0,100,0,0,0,0,0,1026.21,43,1007,N,Not a Migrant
60015,Tinamus guttatus,Tinamus guttatus,White-throated Tinamou,20,0,0,0,20,0,60,0,0,0,0,0,100,0,0,0,0,0,686.18,34,689,N,Not a Migrant
60020,Crypturellus cinereus,Crypturellus cinereus,Cinereous Tinamou,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,506.63,30.5,528,Y,Not a Migrant
60021,Crypturellus soui,Crypturellus soui,Little Tinamou,20,0,0,0,0,0,40,0,20,20,0,0,100,0,0,0,0,0,216.16,22.75,206,Y,Not a Migrant
60023,Crypturellus obsoletus,Crypturellus obsoletus,Brown Tinamou,50,0,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,443.4,27.5,446,N,Not a Migrant
60025,Crypturellus undulatus,Crypturellus undulatus,Undulated Tinamou,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,564.42,30,551,N,Not a Migrant
60028,Crypturellus boucardi,Crypturellus boucardi,Slaty-breasted Tinamou,20,0,0,0,0,0,40,0,40,0,0,0,100,0,0,0,0,0,435.62,27.5,470,N,Not a Migrant
60034,Crypturellus noctivagus,Crypturellus noctivagus,Yellow-legged Tinamou,30,0,0,0,0,0,0,0,30,40,0,0,100,0,0,0,0,0,561.99,NA,NA,NA,NA
60036,Crypturellus variegatus,Crypturellus variegatus,Variegated Tinamou,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,378,29.5,384,N,Not a Migrant
60041,Crypturellus tataupa,Crypturellus tataupa,Tataupa Tinamou,50,0,0,0,0,0,0,0,30,20,0,0,50,50,0,0,0,0,218.8,25.5,221,N,Not a Migrant
60060,Ortalis vetula,Ortalis vetula,Plain Chachalaca,0,0,0,0,0,0,60,0,0,40,0,0,0,0,50,50,0,0,562.6,53,602.5,N,Not a Migrant
60061,Ortalis cinereiceps,Ortalis cinereiceps,Grey-headed Chachalaca,0,0,0,0,0,0,80,0,0,20,0,0,20,0,40,40,0,0,493,52,515,N,Not a Migrant
60066,Ortalis poliocephala,Ortalis poliocephala,West Mexican Chachalaca,0,0,0,0,0,0,30,0,30,40,0,0,0,0,50,50,0,0,760,64.5,760,N,Not a Migrant
60069,Ortalis guttata,Ortalis guttata,Speckled Chachalaca,0,0,0,0,0,0,90,0,10,0,0,0,0,0,50,50,0,0,547.72,52,550,N,Not a Migrant
60070,Ortalis motmot,Ortalis motmot,Little Chachalaca,0,0,0,0,0,0,100,0,0,0,0,0,33,0,33,33,0,0,520,48.5,502.5,N,Not a Migrant
60076,Penelope marail,Penelope marail,Marail Guan,0,0,0,0,0,0,100,0,0,0,0,0,20,0,40,40,0,0,879.67,NA,NA,NA,NA
