SiteID,StudyID,Age,Dist1,Dist2,PFCont,Subset,PF.SR,PF.SSR,PF.Fric,PF.Feve,PF.Fdiv,SF.SR,SF.SSR,SF.Fric,SF.Feve,SF.Fdiv,Prop.SR,Prop.SSR,Prop.Fric,Prop.Feve,Prop.Fdiv
2,1,5,AR,N,No,N,46,12,19.82926158,0.227272727,0.794091523,32,12,17.00381532,0.333333333,0.786428639,0.695652174,1,0.857511272,1.466666667,0.990350125
4,2,7.5,PL,N,Yes,N,141,16,35.08538531,0.100719424,0.853122364,55,14,19.24029024,0.226415094,0.810737998,0.390070922,0.875,0.54838475,2.247978437,0.950318538
6,3,1,SB,Y,Yes,N,133,15,32.33554049,0.099236641,0.851590751,145,17,33.58315577,0.104895105,0.855573015,1.090225564,1.133333333,1.038583406,1.057019903,1.004676265
8,4,3,SB,Y,,N,50,7,7.97756368,0.104166667,0.849559151,58,9,12.63244826,0.125,0.805313827,1.16,1.285714286,1.583497014,1.2,0.947919665
9,4,11.5,SB,Y,,N,50,7,7.97756368,0.104166667,0.849559151,63,7,7.97756368,0.081967213,0.836355588,1.26,1,1,0.786885246,0.984458336
11,5,2,PA,Y,No,N,50,12,15.91690785,0.208333333,0.846400321,59,14,20.61749462,0.210526316,0.802723356,1.18,1.166666667,1.295320348,1.010526316,0.9483968
12,5,5,UD,N,No,N,50,12,15.91690785,0.208333333,0.846400321,62,14,20.61749462,0.2,0.822845792,1.24,1.166666667,1.295320348,0.96,0.972170935
14,6,4,SB,Y,Yes,N,51,12,21.67528299,0.204081633,0.80523876,55,12,21.67528299,0.188679245,0.801210288,1.078431373,1,1,0.924528302,0.99499717
19,8,1,SB,Y,No,N,84,11,17.11255406,0.109756098,0.870186081,47,12,15.85946262,0.222222222,0.825465833,0.55952381,1.090909091,0.926773558,2.024691358,0.948608407
20,8,5,SB,Y,No,N,84,11,17.11255406,0.109756098,0.870186081,67,12,15.91690785,0.153846154,0.861436224,0.797619048,1.090909091,0.930130464,1.401709402,0.989944843
21,8,10,SB,Y,No,N,84,11,17.11255406,0.109756098,0.870186081,66,14,18.78751444,0.1875,0.851196545,0.785714286,1.272727273,1.097879041,1.708333333,0.978177614
22,8,25,SB,Y,No,N,84,11,17.11255406,0.109756098,0.870186081,75,9,12.65909725,0.095890411,0.816887798,0.892857143,0.818181818,0.739754989,0.873668189,0.938750706
23,8,100,UD,N,No,N,84,11,17.11255406,0.109756098,0.870186081,83,12,17.5427707,0.12345679,0.85227457,0.988095238,1.090909091,1.02514041,1.124828532,0.979416458
25,9,5,PA,Y,No,N,156,16,28.30851452,0.090909091,0.858855453,202,18,33.76199695,0.08,0.866377748,1.294871795,1.125,1.192644599,0.88,1.00875851
26,9,30,PA,Y,Yes,N,156,16,28.30851452,0.090909091,0.858855453,96,13,19.3117974,0.117021277,0.814431209,0.615384615,0.8125,0.68219042,1.287234043,0.948275063
30,11,40,CC,Y,Yes,N,29,8,12.23984933,0.222222222,0.790394581,29,7,11.14793519,0.185185185,0.816272034,1,0.875,0.910790231,0.833333333,1.032739917
32,12,16.5,CC,Y,Yes,N,178,16,32.47967537,0.079545455,0.84700036,125,14,32.26300622,0.097560976,0.848542974,0.702247191,0.875,0.993329085,1.226480836,1.001821268
34,13,17.5,AR,N,,N,125,12,17.46210509,0.081300813,0.833196834,140,14,23.89729605,0.086956522,0.853509348,1.12,1.166666667,1.368523206,1.069565217,1.024379011
36,14,4.5,SB,Y,Yes,N,108,14,29.01880145,0.113207547,0.849713017,62,13,29.00092121,0.183333333,0.817005561,0.574074074,0.928571429,0.999383839,1.619444444,0.961507644
37,14,11,SB,Y,Yes,N,108,14,29.01880145,0.113207547,0.849713017,79,11,26.46662532,0.116883117,0.838745405,0.731481481,0.785714286,0.912050946,1.032467532,0.987092568
38,14,27.5,SB,Y,Yes,N,108,14,29.01880145,0.113207547,0.849713017,70,9,19.55074613,0.102941176,0.915716278,0.648148148,0.642857143,0.673726865,0.909313725,1.077677121
40,15,50,PL,N,No,N,17,9,3.617414706,0.466666667,0.869045659,21,11,16.85982211,0.473684211,0.793196918,1.235294118,1.222222222,4.66073798,1.015037594,0.9127218
42,16,5,PL,N,Yes,N,15,9,14.09645316,0.538461538,0.753158826,15,10,14.52666979,0.615384615,0.816188441,1,1.111111111,1.030519495,1.142857143,1.083687016
48,18,85,PA,Y,Yes,N,29,9,13.98721115,0.259259259,0.809418512,40,10,9.729377844,0.210526316,0.809974474,1.379310345,1.111111111,0.695590975,0.812030075,1.000686867
52,20,13,AR,N,Yes,N,59,11,13.19151155,0.157894737,0.824608651,77,11,14.02191744,0.12,0.806565314,1.305084746,1,1.062950018,0.76,0.978118909
54,21,7,SB,Y,No,N,91,14,23.36399719,0.134831461,0.82404028,67,14,22.88819151,0.184615385,0.83506984,0.736263736,1,0.979635091,1.369230769,1.013384735
56,22,10,AR,N,,N,18,5,0.648497542,0.1875,0.848943649,18,5,0.648497542,0.1875,0.848943649,1,1,1,1,1
57,22,30,AR,N,,N,18,5,0.648497542,0.1875,0.848943649,18,5,0.648497542,0.1875,0.848943649,1,1,1,1,1
59,23,14,FI,Y,Yes,N,22,9,9.274893959,0.35,0.770085354,25,9,9.274893959,0.304347826,0.741684445,1.136363636,1,1,0.869565217,0.963119792
61,24,20,SB,Y,Yes,N,84,15,32.65038522,0.158536585,0.848170686,59,14,31.40040572,0.210526316,0.865678685,0.702380952,0.933333333,0.96171624,1.327935223,1.02064207
63,25,50,AR,N,Yes,N,60,8,8.844677326,0.103448276,0.84388015,46,7,7.429990744,0.113636364,0.819937889,0.766666667,0.875,0.840052211,1.098484848,0.971628363
65,26,9,PA,Y,Yes,N,133,17,24.21229284,0.114503817,0.841489442,135,15,19.69605472,0.097744361,0.83520509,1.015037594,0.882352941,0.81347334,0.853634085,0.99253187
67,27,5,PL,N,Yes,N,47,13,23.59347661,0.244444444,0.843255154,32,10,17.93709973,0.266666667,0.85161902,0.680851064,0.769230769,0.760256745,1.090909091,1.009918547
68,27,15,PL,N,Yes,N,47,13,23.59347661,0.244444444,0.843255154,27,8,10.48709949,0.24,0.867874615,0.574468085,0.615384615,0.444491487,0.981818182,1.029195742
70,28,4,FI,Y,Yes,N,153,15,26.56812192,0.086092715,0.848573304,124,13,23.52556812,0.090163934,0.856426983,0.810457516,0.866666667,0.885481036,1.047288777,1.009255157
72,29,50,AR,N,,N,104,16,22.19345342,0.137254902,0.874841895,118,15,21.23411743,0.112068966,0.876429462,1.134615385,0.9375,0.95677392,0.816502463,1.00181469
74,30,17.5,PA,Y,Yes,N,63,9,10.31512777,0.114754098,0.786220837,37,7,2.46295204,0.142857143,0.793298457,0.587301587,0.777777778,0.238770871,1.244897959,1.009002076
75,30,27.5,PA,Y,No,N,63,9,10.31512777,0.114754098,0.786220837,23,6,2.333152314,0.19047619,0.833144477,0.365079365,0.666666667,0.226187437,1.659863946,1.059682519
76,30,40,PA,Y,No,N,63,9,10.31512777,0.114754098,0.786220837,56,9,10.31512777,0.12962963,0.795865129,0.888888889,1,1,1.12962963,1.012266645
78,31,17.5,PA,Y,Yes,N,50,6,5.818979879,0.083333333,0.704429019,68,10,12.98199929,0.121212121,0.812585034,1.36,1.666666667,2.230975113,1.454545455,1.153537137
82,33,4,CC,Y,Yes,N,52,13,19.48250724,0.22,0.874535613,35,10,16.59078908,0.242424242,0.836423175,0.673076923,0.769230769,0.851573613,1.101928375,0.956419798
83,33,3.5,CC,Y,No,N,52,13,19.48250724,0.22,0.874535613,16,6,6.203237206,0.285714286,0.819224028,0.307692308,0.461538462,0.318400354,1.298701299,0.936753193
84,33,5.5,CC,Y,No,N,52,13,19.48250724,0.22,0.874535613,32,9,14.36270924,0.233333333,0.840959497,0.615384615,0.692307692,0.737210517,1.060606061,0.961606919
86,34,14,AR,N,No,N,32,11,27.54864723,0.3,0.835487619,31,11,27.54864723,0.310344828,0.832104936,0.96875,1,1,1.034482759,0.995951247
87,34,5,AR,N,No,N,32,11,27.54864723,0.3,0.835487619,31,11,27.54864723,0.310344828,0.832104936,0.96875,1,1,1.034482759,0.995951247
