"StudyID","Age","Cont_F","Point_obs","Mist_nets","Transect","Vocal","No_Methods","nspb_P","FRic_P","FEve_P","FDiv_P","FDis_P","SpR_comp","FR_comp","FE_comp","FDiv_comp","FDis_comp"
1,5,"No",1,0,0,1,2,46,0.00262291766097756,0.990370194879358,0.774334766747631,0.0639567938076466,-0.362905493689369,-2.32094636471505,0.00361487156379854,0.106967974518006,-0.143391071089262
2,7.5,"Yes",1,1,0,1,3,141,0.00559260290288161,0.991386768143026,0.795211014420853,0.0597472546920878,-0.941426705145697,-0.817240453707648,-0.0128802926272898,-0.0398731059526787,-0.069579967826634
3,1,"Yes",1,0,0,0,1,133,0.00372215122109949,0.99194679055518,0.834023636858238,0.0566940293633534,0.0863846141988205,0.36160694254159,0.00023699756523205,-0.0643419289014872,0.0972538903429196
4,3,"Unk",0,1,0,0,1,50,0.000180857597577372,0.993478213318001,0.77677132365525,0.0420109027388728,0.148420005118273,0.429128366492234,-0.00099096393520774,0.0528975302597827,0.110579426288934
4,11.5,"Unk",0,1,0,0,1,50,0.000180857597577372,0.993478213318001,0.77677132365525,0.0420109027388728,0.231111720963387,0.252985893934737,-0.00141370145692689,0.0277886726820664,0.0173019977655833
5,2,"No",1,0,0,0,1,50,0.000187198643650776,0.994510075501832,0.812938980959416,0.0400604951242528,0.165514438477574,0.313487161482797,9.18879194548462e-05,0.0393813345729869,0.227913778460793
5,5,"No",1,0,0,0,1,50,0.000187198643650776,0.994510075501832,0.812938980959416,0.0400604951242528,0.215111379616946,0.370602360629372,-0.00077282053532639,0.0466992504423328,0.214401402352478
6,4,"Yes",1,1,0,1,3,51,0.00233317632839043,0.978660109442257,0.813363825004779,0.0556286445596523,0.0755075525081454,0.128042973614425,0.00134032880442648,0.0209709648594459,0.0606150220554569
8,1,"No",1,0,0,1,2,84,0.00334173050237085,0.992128426354983,0.777787545441197,0.0552903728206002,-0.580669197133255,-0.316368297217108,-0.00231637155793051,0.0103015458183836,0.115310975694919
8,5,"No",1,0,0,1,2,84,0.00334173050237085,0.992128426354983,0.777787545441197,0.0552903728206002,-0.226124179452348,-0.282747659474893,-0.000692412711525823,0.0220828332543596,-0.0811269550405096
8,10,"No",1,0,0,1,2,84,0.00334173050237085,0.992128426354983,0.777787545441197,0.0552903728206002,-0.241162056816888,-2.49500284324434,0.00275646701552996,0.05743915182479,-0.220808538441262
8,25,"No",1,0,0,1,2,84,0.00334173050237085,0.992128426354983,0.777787545441197,0.0552903728206002,-0.113328685307003,-0.14878793161133,-9.47247693777777e-05,0.0282394961044103,-0.0306689202194259
8,100,"No",1,0,0,1,2,84,0.00334173050237085,0.992128426354983,0.777787545441197,0.0552903728206002,-0.0119761910467151,0.171714506850337,0.000635638042476606,-0.0050693020581738,0.0839529011405387
9,5,"No",1,1,0,1,1,156,0.00438654420857845,0.992487677118486,0.840995335351242,0.0557543552176954,0.258411690151668,-0.371426633113669,0.000801695640826528,-0.0182806277257296,-0.0386065651034535
9,30,"Yes",1,1,0,1,1,156,0.00438654420857845,0.992487677118486,0.840995335351242,0.0557543552176954,-0.485507815781701,-0.45111284675844,-0.00124263893400782,-0.00151691212302879,-0.0520476303252262
11,40,"Yes",1,1,0,1,3,29,0.000168264544993778,0.990578163081581,0.86756327293992,0.0567009238127312,0,0.0795297839390638,-0.00135272509379081,-0.00966936065572055,0.0249320864731644
12,16.5,"Yes",1,1,1,1,4,178,0.00465747146265916,0.992120809970997,0.82142760320318,0.0552526805511788,-0.353469812989784,-2.41402097202392,0.00225788850749488,0.00222965009254922,-0.0837384483833561
13,17.5,"Unk",1,0,0,1,2,125,0.0042515887643298,0.992586794894278,0.814283045489014,0.0543542797481426,0.113328685307002,-2.36874583316021,0.00221998564931296,0.000603558750381927,-0.0962687633689603
14,4.5,"Yes",0,0,1,1,2,108,0.000307963604399355,0.994494073577175,0.81205051352715,0.0461408965328204,-0.554996842079128,0.049981137402856,-0.00143663401545827,0.0252132507723832,0.0906630889330522
