SiteID,Taxon ID,Scientific name,Sc,V,I,F,N,P,Se,No of guilds
1,600234,Galloperdix bicalcarata,0,0,1,1,0,0,1,3
1,600248,Gallus lafayetii,0,0,1,1,0,0,1,3
1,600721,Picus chlorolophus,0,0,1,0,0,0,0,1
1,600739,Chrysocolaptes lucidus,0,0,1,0,0,0,0,1
1,600767,Megalaima flavifrons,0,0,0,1,0,0,0,1
1,600778,Megalaima rubricapillus,0,0,1,1,0,0,0,2
1,600944,Ocyceros gingalensis,0,0,0,1,0,0,0,1
1,6001023,Harpactes fasciatus,0,0,1,1,0,1,0,3
1,6001256,Phaenicophaeus pyrrhocephalus,0,0,0,1,0,0,0,1
1,6001289,Centropus chlororhynchus,0,0,1,0,0,0,0,1
1,6001516,Loriculus beryllinus,0,0,0,1,1,0,1,3
1,6001538,Psittacula calthropae,0,0,0,1,1,0,0,2
1,6002279,Glaucidium castanonotum,0,0,1,0,0,0,0,1
1,6002340,Batrachostomus moniliger,0,0,1,0,0,0,0,1
1,6002465,Columba torringtoniae,0,0,0,1,0,0,0,1
1,6002534,Chalcophaps indica,0,0,0,1,0,0,1,2
1,6002635,Treron pompadora,0,0,0,1,0,0,0,1
1,6002715,Ducula aenea,0,0,0,1,0,0,0,1
1,6003390,Spilornis cheela,0,1,0,0,0,0,0,1
1,6003529,Ictinaetus malayensis,0,1,0,0,0,0,0,1
1,6005727,Urocissa ornata,0,1,1,0,0,0,0,2
1,6005784,Corvus macrorhynchos,1,0,0,0,0,0,0,1
1,6005972,Pericrocotus cinnamomeus,0,0,1,0,0,0,0,1
1,6005980,Pericrocotus flammeus,0,0,1,0,0,0,0,1
1,6006048,Dicrurus paradiseus,0,0,1,0,0,0,0,1
1,6006071,Terpsiphone paradisi,0,0,1,0,0,0,0,1
1,6006147,Aegithina tiphia,0,0,1,0,0,0,0,1
1,6006326,Zoothera spiloptera,0,0,1,0,0,0,0,1
1,6006569,Cyornis tickelliae,0,0,1,0,0,0,0,1
1,6006806,Sturnus albofrontatus,0,0,0,1,0,0,0,1
1,6006840,Gracula ptilogenys,0,0,0,1,0,0,0,1
1,6006841,Gracula religiosa,0,0,0,1,0,0,0,1
1,6006898,Sitta frontalis,0,0,1,0,0,0,0,1
1,6007180,Pycnonotus melanicterus,0,0,1,0,0,0,0,1
1,6007288,Iole indica,0,0,1,1,0,0,1,3
1,6007305,Hypsipetes leucocephalus,0,0,0,1,0,0,0,1
1,6007453,Zosterops ceylonensis,0,0,1,1,1,0,0,3
1,6007777,Garrulax cinereifrons,0,0,1,1,0,0,1,3
1,6007848,Pellorneum fuscocapillus,0,0,1,0,0,0,0,1
1,6007935,Rhopocichla atriceps,0,0,1,0,0,0,0,1
1,6007959,Turdoides rufescens,0,0,1,0,0,0,0,1
1,6008198,Dicaeum vincens,0,0,1,1,1,0,0,3
1,6008411,Motacilla flava,0,0,1,0,0,0,1,2
1,60032154,Zoothera dauma,0,0,1,1,0,0,0,2
1,60032261,Chloropsis cochinchinensis,0,0,1,1,0,0,0,2
1,60032518,Pomatorhinus horsfieldii,0,0,1,1,1,0,0,3
2,600248,Gallus lafayetii,0,0,1,1,0,0,1,3
2,600738,Dinopium benghalense,0,0,1,0,0,0,0,1
2,600758,Megalaima zeylanica,0,0,0,1,0,0,0,1
2,600778,Megalaima rubricapillus,0,0,1,1,0,0,0,2
2,6001182,Merops leschenaulti,0,0,1,0,0,0,0,1
2,6001282,Centropus sinensis,0,1,1,1,0,0,0,3
2,6001536,Psittacula roseata,0,0,0,1,1,0,1,3
2,6001787,Apus affinis,0,0,1,0,0,0,0,1
2,6002503,Stigmatopelia chinensis,0,0,0,0,0,0,1,1
2,6002534,Chalcophaps indica,0,0,0,1,0,0,1,2
2,6002635,Treron pompadora,0,0,0,1,0,0,0,1
2,6002715,Ducula aenea,0,0,0,1,0,0,0,1
2,6003390,Spilornis cheela,0,1,0,0,0,0,0,1
2,6003529,Ictinaetus malayensis,0,1,0,0,0,0,0,1
2,6005784,Corvus macrorhynchos,1,0,0,0,0,0,0,1
2,6005893,Oriolus xanthornus,0,0,0,1,0,0,0,1
2,6005972,Pericrocotus cinnamomeus,0,0,1,0,0,0,0,1
2,6005980,Pericrocotus flammeus,0,0,1,0,0,0,0,1
2,6006036,Dicrurus caerulescens,0,0,1,0,0,0,0,1
2,6006071,Terpsiphone paradisi,0,0,1,0,0,0,0,1
2,6006147,Aegithina tiphia,0,0,1,0,0,0,0,1
2,6006569,Cyornis tickelliae,0,0,1,0,0,0,0,1
2,6006647,Saxicoloides fulicatus,0,0,1,0,0,0,0,1
2,6006841,Gracula religiosa,0,0,0,1,0,0,0,1
2,6007180,Pycnonotus melanicterus,0,0,1,0,0,0,0,1
2,6007196,Pycnonotus cafer,0,0,1,1,1,1,0,4
2,6007848,Pellorneum fuscocapillus,0,0,1,0,0,0,0,1
2,6007935,Rhopocichla atriceps,0,0,1,0,0,0,0,1
2,6007959,Turdoides rufescens,0,0,1,0,0,0,0,1
2,6007960,Turdoides affinis,0,0,1,0,0,0,0,1
2,6008271,Nectarinia zeylonica,0,0,1,1,1,0,0,3
2,6008411,Motacilla flava,0,0,1,0,0,0,1,2
3,60021,Crypturellus soui,0,0,0,1,0,1,1,3
3,60041,Crypturellus tataupa,0,0,1,0,0,1,1,3
3,60069,Ortalis guttata,0,0,0,1,0,0,0,1
3,60088,Pipile cumanensis,0,0,0,1,0,0,0,1
3,600100,Mitu mitu,0,0,0,1,0,0,0,1
3,600541,Picumnus aurifrons,0,0,1,0,0,0,0,1
3,600578,Melanerpes cruentatus,0,0,1,1,0,0,0,2
3,600670,Veniliornis affinis,0,0,1,0,0,0,0,1
3,600675,Piculus leucolaemus,0,0,1,0,0,0,0,1
