"study","Point_obs","Mist_nets","Transect","Vocal","SiteID","Age","SES_Sec","SES_P","SES_Diff"
1,"Yes","No","No","Yes",2,5,1.89846553894102,-1.18011509146949,3.07858063041051
11,"Yes","Yes","No","Yes",30,40,-0.143052304842169,-0.433538846553083,0.290486541710914
12,"Yes","Yes","Yes","Yes",32,16.5,-0.834440236544407,0.170680303964411,-1.00512054050882
13,"Yes","No","No","Yes",34,17.5,0.318970185246884,-0.377675830720327,0.696646015967211
14,"No","No","Yes","Yes",36,4.5,1.5995547567603,-2.61995641348245,4.21951117024275
14,"No","No","Yes","Yes",37,11,-2.8663471818821,-2.61995641348245,-0.24639076839965
14,"No","No","Yes","Yes",38,27.5,-3.46819554946966,-2.61995641348245,-0.84823913598721
16,"Yes","No","No","Yes",42,5,0.143656482093234,-0.414123007178467,0.557779489271701
18,"Yes","No","No","Yes",48,85,-1.2670544353397,0.97010461135766,-2.23715904669736
2,"Yes","Yes","No","Yes",4,7.5,-0.386560465920727,-2.04617377536107,1.65961330944034
20,"No","No","No","Yes",52,13,-0.157868291669138,-0.179068446034668,0.02120015436553
22,"No","No","Yes","Yes",56,10,NA,NA,NA
22,"No","No","Yes","Yes",57,30,NA,NA,NA
24,"Yes","Yes","No","Yes",61,20,0.362403322036782,0.209365386140072,0.15303793589671
25,"No","Yes","No","No",63,50,-0.676645866361765,0.718642625156138,-1.3952884915179
26,"Yes","No","No","Yes",65,9,-2.8469241771746,-0.396857035889503,-2.4500671412851
27,"Yes","No","No","Yes",67,5,-0.940166886463793,0.402061373015758,-1.34222825947955
27,"Yes","No","No","Yes",68,15,-0.254278345023317,0.402061373015758,-0.656339718039075
29,"Yes","No","No","Yes",72,50,-2.49402082980545,0.525677834360227,-3.01969866416568
3,"Yes","No","No","No",6,1,3.91381049346244,-3.85082534861314,7.76463584207558
30,"No","Yes","No","No",74,17.5,-0.97874983303435,-0.263401549832771,-0.715348283201579
30,"No","Yes","No","No",75,17.5,-1.4462525139461,-0.263401549832771,-1.18285096411333
30,"No","Yes","No","No",76,40,-1.36608248760042,-0.263401549832771,-1.10268093776765
31,"Yes","Yes","No","Yes",78,17.5,-0.183726669271299,-1.21627926679983,1.03255259752853
33,"Yes","No","No","Yes",82,4,0.261069488142153,0.592511279959405,-0.331441791817252
33,"Yes","No","No","Yes",83,3.5,-0.926630098493201,0.592511279959405,-1.51914137845261
33,"Yes","No","No","Yes",84,5.5,-0.663912470310319,0.592511279959405,-1.25642375026972
34,"Yes","No","No","Yes",86,14,-1.90767098900752,NA,NA
34,"Yes","No","No","Yes",87,5,-2.11092062128511,NA,NA
4,"No","Yes","No","No",8,3,-0.0123567331532037,-3.02193739547965,3.00958066232645
4,"No","Yes","No","No",9,11.5,-1.8316717729798,-3.02193739547965,1.19026562249985
5,"Yes","No","No","No",11,2,-1.42137137735996,-1.72367437362618,0.30230299626622
5,"Yes","No","No","No",12,5,0.298478938094858,-1.72367437362618,2.02215331172104
6,"Yes","Yes","No","Yes",14,4,0.227674063128352,-0.815391971764348,1.0430660348927
8,"Yes","No","No","Yes",19,1,0.866693423244335,-2.3600368024422,3.22673022568653
8,"Yes","No","No","Yes",20,5,-0.764672209518689,-2.3600368024422,1.59536459292351
8,"Yes","No","No","Yes",21,10,-2.10453419514451,-2.3600368024422,0.25550260729769
8,"Yes","No","No","Yes",22,25,-3.38443202981234,-2.3600368024422,-1.02439522737014
8,"Yes","No","No","Yes",23,100,-2.54080356283145,-2.3600368024422,-0.18076676038925
9,"Yes","Yes","No","Yes",25,5,0.274451999071182,-0.898995517316529,1.17344751638771
9,"Yes","Yes","No","Yes",26,30,-2.54029077557644,-0.898995517316529,-1.64129525825991
