SiteID,Study,TaxonID,Species,Abundance
1,1,600234,Galloperdix bicalcarata,0.45
1,1,600248,Gallus lafayetii,1.28
1,1,600721,Picus chlorolophus,0.05
1,1,600739,Chrysocolaptes lucidus,0.38
1,1,600767,Megalaima flavifrons,0.6
1,1,600778,Megalaima rubricapillus,0.03
1,1,600944,Ocyceros gingalensis,0.43
1,1,6001023,Harpactes fasciatus,0.48
1,1,6001256,Phaenicophaeus pyrrhocephalus,0.78
1,1,6001289,Centropus chlororhynchus,0.38
1,1,6001516,Loriculus beryllinus,0.38
1,1,6001538,Psittacula calthropae,0.23
1,1,6002279,Glaucidium castanonotum,0.08
1,1,6002340,Batrachostomus moniliger,0.03
1,1,6002465,Columba torringtoniae,0.05
1,1,6002534,Chalcophaps indica,0.1
1,1,6002635,Treron pompadora,0.05
1,1,6002715,Ducula aenea,0.55
1,1,6003390,Spilornis cheela,0.28
1,1,6003529,Ictinaetus malayensis,0.08
1,1,6005727,Urocissa ornata,1.95
1,1,6005784,Corvus macrorhynchos,0.05
1,1,6005972,Pericrocotus cinnamomeus,0.25
1,1,6005980,Pericrocotus flammeus,0.13
1,1,6006048,Dicrurus paradiseus,0.68
1,1,6006071,Terpsiphone paradisi,0.43
1,1,6006147,Aegithina tiphia,0.15
1,1,6006326,Zoothera spiloptera,0.83
1,1,6006569,Cyornis tickelliae,0.38
1,1,6006806,Sturnus albofrontatus,0.58
1,1,6006840,Gracula ptilogenys,0.83
1,1,6006841,Gracula religiosa,0.15
1,1,6006898,Sitta frontalis,0.3
1,1,6007180,Pycnonotus melanicterus,0.15
1,1,6007288,Iole indica,0.08
1,1,6007305,Hypsipetes leucocephalus,0.75
1,1,6007453,Zosterops ceylonensis,0.75
1,1,6007777,Garrulax cinereifrons,2.55
1,1,6007848,Pellorneum fuscocapillus,0.88
1,1,6007935,Rhopocichla atriceps,0.3
1,1,6007959,Turdoides rufescens,5.3
1,1,6008198,Dicaeum vincens,0.4
1,1,6008411,Motacilla flava,0.05
1,1,60032154,Zoothera dauma,0.03
1,1,60032261,Chloropsis cochinchinensis,0.13
1,1,60032518,Pomatorhinus horsfieldii,0.3
2,1,600248,Gallus lafayetii,0.03
2,1,600738,Dinopium benghalense,0.15
2,1,600758,Megalaima zeylanica,0.15
2,1,600778,Megalaima rubricapillus,0.2
2,1,6001182,Merops leschenaulti,0.15
2,1,6001282,Centropus sinensis,0.25
2,1,6001536,Psittacula roseata,0.03
2,1,6001787,Apus affinis,0.1
2,1,6002503,Stigmatopelia chinensis,1.88
2,1,6002534,Chalcophaps indica,0.08
2,1,6002635,Treron pompadora,0.13
2,1,6002715,Ducula aenea,0.55
2,1,6003390,Spilornis cheela,0.25
2,1,6003529,Ictinaetus malayensis,0.15
2,1,6005784,Corvus macrorhynchos,0.23
2,1,6005893,Oriolus xanthornus,0.03
2,1,6005972,Pericrocotus cinnamomeus,0.28
2,1,6005980,Pericrocotus flammeus,0.15
2,1,6006036,Dicrurus caerulescens,0.23
2,1,6006071,Terpsiphone paradisi,0.25
2,1,6006147,Aegithina tiphia,0.15
2,1,6006569,Cyornis tickelliae,0.3
2,1,6006647,Saxicoloides fulicatus,0.28
2,1,6006841,Gracula religiosa,0.2
2,1,6007180,Pycnonotus melanicterus,0.25
2,1,6007196,Pycnonotus cafer,0.78
2,1,6007848,Pellorneum fuscocapillus,0.18
2,1,6007935,Rhopocichla atriceps,0.35
2,1,6007959,Turdoides rufescens,0.03
2,1,6007960,Turdoides affinis,2.15
2,1,6008271,Nectarinia zeylonica,0.2
2,1,6008411,Motacilla flava,0.05
3,2,60021,Crypturellus soui,
3,2,60041,Crypturellus tataupa,
3,2,60069,Ortalis guttata,
3,2,60088,Pipile cumanensis,
3,2,600100,Mitu mitu,
3,2,600541,Picumnus aurifrons,
3,2,600578,Melanerpes cruentatus,
3,2,600670,Veniliornis affinis,
3,2,600675,Piculus leucolaemus,
3,2,600704,Dryocopus lineatus,
3,2,600714,Campephilus melanoleucos,
3,2,600831,Eubucco richardsoni,
3,2,600837,Aulacorhynchus prasinus,
3,2,600848,Pteroglossus castanotis,
3,2,600861,Selenidera reinwardtii,0.004
3,2,600908,Malacoptila fusca,0.004
3,2,600920,Nonnula ruficapilla,0.014
3,2,600924,Monasa nigrifrons,
3,2,6001020,Trogon curucui,
3,2,6001312,Piaya cayana,
3,2,6001554,Ara severus,
3,2,6001575,Aratinga weddellii,
3,2,6001653,Pionus menstruus,
3,2,6001681,Amazona ochrocephala,
3,2,6001693,Streptoprocne rutila,
3,2,6001703,Streptoprocne zonaris,
3,2,6001801,Threnetes leucurus,0.014
3,2,6001805,Phaethornis superciliosus,0.032
3,2,6001808,Phaethornis hispidus,0.032
3,2,6001820,Phaethornis stuarti,0.004
3,2,6001825,Eutoxeres condamini,0.004
3,2,6001844,Florisuga mellivora,
3,2,6001899,Thalurania furcata,
3,2,6001915,Chrysuronia oenone,0.007
3,2,6001937,Amazilia lactea,
3,2,6002205,Megascops watsonii,
3,2,6002257,Pulsatrix perspicillata,
3,2,6002270,Glaucidium brasilianum,
3,2,6002488,Patagioenas plumbea,
3,2,6002582,Leptotila rufaxilla,0.004
3,2,6002602,Geotrygon montana,0.004
3,2,6003339,Elanoides forficatus,
3,2,6003349,Harpagus bidentatus,0.004
3,2,6003352,Ictinia plumbea,
3,2,6003484,Leucopternis albicollis,
3,2,6003499,Buteo magnirostris,
3,2,6003558,Spizaetus tyrannus,
3,2,6003564,Ibycter americanus,
3,2,6003573,Herpetotheres cachinnans,
3,2,6003609,Falco rufigularis,
3,2,6003817,Coragyps atratus,
3,2,6003818,Cathartes aura,
3,2,6003820,Cathartes melambrotus,
3,2,6003823,Sarcoramphus papa,
3,2,6004044,Mionectes striaticollis,0.004
3,2,6004047,Mionectes macconnelli,0.035
3,2,6004092,Todirostrum chrysocrotaphum,
3,2,6004130,Myiopagis gaimardii,
3,2,6004141,Elaenia albiceps,
3,2,6004210,Myiornis auricularis,
3,2,6004212,Myiornis ecaudatus,
3,2,6004225,Tolmomyias assimilis,
3,2,6004227,Tolmomyias flaviventris,
3,2,6004233,Platyrinchus platyrhynchos,0.004
3,2,6004248,Terenotriccus erythrurus,0.018
3,2,6004371,Attila spadiceus,0.007
3,2,6004375,Rhytipterna simplex,0.004
3,2,6004436,Legatus leucophaius,
3,2,6004451,Pachyramphus marginatus,
3,2,6004461,Tityra semifasciata,
3,2,6004517,Gymnoderus foetidus,
3,2,6004519,Querula purpurata,
3,2,6004533,Pipra fasciicauda,0.331
3,2,6004564,Machaeropterus pyrocephalus,0.035
3,2,6004585,Cymbilaimus lineatus,
3,2,6004612,Thamnophilus schistaceus,0.014
3,2,6004613,Thamnophilus murinus,0.004
3,2,6004636,Thamnomanes ardesiacus,0.025
3,2,6004653,Epinecrophylla haematonota,0.007
3,2,6004655,Epinecrophylla ornata,0.014
3,2,6004657,Myrmotherula axillaris,0.035
3,2,6004668,Myrmotherula menetriesii,
3,2,6004683,Herpsilochmus rufimarginatus,
3,2,6004705,Cercomacra cinerascens,
3,2,6004719,Myrmoborus leucophrys,0.004
3,2,6004721,Myrmoborus myotherinus,0.014
3,2,6004754,Pithys albifrons,0.021
3,2,6004762,Rhegmatorhina melanosticta,0.004
3,2,6004768,Hylophylax naevius,0.014
3,2,6004857,Synallaxis gujanensis,0.004
3,2,6004860,Synallaxis cherriei,0.021
3,2,6004986,Automolus ochrolaemus,0.004
3,2,6005005,Xenops minutus,0.018
3,2,6005017,Sittasomus griseicapillus,0.004
3,2,6005018,Glyphorynchus spirurus,0.007
3,2,6005030,Dendrocolaptes picumnus,
3,2,6005058,Formicarius analis,
3,2,6005105,Myrmothera campanisona,0.004
3,2,6005559,Vireolanius leucotis,
3,2,6005584,Vireo olivaceus,
3,2,6005600,Hylophilus hypoxanthus,
3,2,6005605,Hylophilus ochraceiceps,0.011
3,2,6006982,Microcerculus marginatus,0.014
3,2,6009219,Cissopis leverianus,
3,2,6009253,Hemithraupis guira,
3,2,6009273,Lanio versicolor,
3,2,6009281,Tachyphonus rufiventer,0.004
3,2,6009289,Habia rubica,0.018
3,2,6009308,Ramphocelus carbo,0.004
3,2,6009313,Thraupis episcopus,
3,2,6009366,Euphonia chrysopasta,
3,2,6009371,Euphonia rufiventris,
3,2,6009375,Chlorophonia cyanea,
3,2,6009383,Tangara mexicana,
3,2,6009386,Tangara chilensis,
3,2,6009393,Tangara schrankii,
3,2,6009400,Tangara xanthogastra,
3,2,6009405,Tangara gyrola,
3,2,6009419,Tangara nigrocincta,
3,2,6009430,Tangara callophrys,
3,2,6009434,Dacnis lineata,
3,2,6009438,Dacnis cayana,
3,2,6009441,Chlorophanes spiza,
3,2,6009444,Cyanerpes caeruleus,
3,2,6009630,Saltator grossus,0.004
3,2,6009633,Saltator maximus,0.004
3,2,6009646,Cyanocompsa cyanoides,0.032
3,2,6009658,Psarocolius decumanus,
3,2,6009661,Psarocolius angustifrons,
3,2,6009668,Cacicus cela,
3,2,39535965,Willisornis poecilinotus,0.011
3,2,60031112,Momotus momota,0.007
3,2,60032142,Myrmotherula brachyura,
3,2,60032159,Capito niger,
3,2,60032179,Myrmeciza hemimelaena,0.102
3,2,60032248,Dendrocincla fuliginosa,0.021
3,2,60032249,Xiphorhynchus guttatus,0.007
3,2,60032467,Pteroglossus azara,
3,2,60032471,Ramphastos tucanus,
3,2,60032512,Hypocnemis cantator,0.021
3,2,60032666,Trogon viridis,
4,2,60069,Ortalis guttata,
4,2,600541,Picumnus aurifrons,0.007
4,2,600663,Veniliornis passerinus,0.015
4,2,600920,Nonnula ruficapilla,0.022
4,2,6001314,Coccycua minuta,0.015
4,2,6001321,Crotophaga ani,
4,2,6001693,Streptoprocne rutila,
4,2,6001703,Streptoprocne zonaris,
4,2,6001805,Phaethornis superciliosus,0.044
4,2,6001808,Phaethornis hispidus,0.044
4,2,6001834,Campylopterus largipennis,0.007
4,2,6001899,Thalurania furcata,0.015
4,2,6001915,Chrysuronia oenone,0.007
4,2,6001930,Amazilia chionogaster,0.066
4,2,6001937,Amazilia lactea,0.037
4,2,6002270,Glaucidium brasilianum,0.015
4,2,6003339,Elanoides forficatus,
4,2,6003499,Buteo magnirostris,
4,2,6003563,Daptrius ater,
4,2,6003609,Falco rufigularis,
4,2,6003817,Coragyps atratus,
4,2,6003818,Cathartes aura,
4,2,6004047,Mionectes macconnelli,0.007
4,2,6004083,Poecilotriccus latirostris,0.022
4,2,6004088,Todirostrum cinereum,0.007
4,2,6004092,Todirostrum chrysocrotaphum,
4,2,6004141,Elaenia albiceps,0.007
4,2,6004212,Myiornis ecaudatus,
4,2,6004227,Tolmomyias flaviventris,0.044
4,2,6004387,Myiarchus ferox,0.022
4,2,6004408,Tyrannus melancholicus,
4,2,6004448,Pachyramphus polychopterus,0.066
4,2,6004564,Machaeropterus pyrocephalus,0.022
4,2,6004593,Taraba major,0.007
4,2,6004601,Thamnophilus doliatus,0.022
4,2,6004636,Thamnomanes ardesiacus,0.007
4,2,6004762,Rhegmatorhina melanosticta,0.022
4,2,6004845,Synallaxis albigularis,0.081
4,2,6004857,Synallaxis gujanensis,0.066
4,2,6005554,Cyclarhis gujanensis,
4,2,6005605,Hylophilus ochraceiceps,0.007
4,2,6006358,Myadestes ralloides,0.007
4,2,6006948,Thryothorus coraya,0.066
4,2,6006969,Troglodytes aedon,
4,2,6008998,Ammodramus aurifrons,0.007
4,2,6009199,Coereba flaveola,0.007
4,2,6009200,Conirostrum speciosum,
4,2,6009250,Thlypopsis sordida,0.007
4,2,6009308,Ramphocelus carbo,0.125
4,2,6009525,Volatinia jacarina,0.015
4,2,6009551,Sporophila castaneiventris,0.037
4,2,6009633,Saltator maximus,0.022
4,2,6009635,Saltator coerulescens,0.015
4,2,60031112,Momotus momota,0.015
4,2,60032179,Myrmeciza hemimelaena,0.015
5,3,60014,Tinamus major,0.4
5,3,60020,Crypturellus cinereus,0.05
5,3,60021,Crypturellus soui,0.4
5,3,60023,Crypturellus obsoletus,0.05
5,3,60025,Crypturellus undulatus,0.4
5,3,60036,Crypturellus variegatus,2.9
5,3,60082,Penelope jacquacu,1.8
5,3,600100,Mitu mitu,0.2
5,3,600324,Odontophorus gujanensis,0.6
5,3,600663,Veniliornis passerinus,0.4
5,3,600677,Piculus chrysochloros,0.1
5,3,600693,Celeus grammicus,0.2
5,3,600696,Celeus elegans,0.1
5,3,600699,Celeus flavus,0.1
5,3,600711,Campephilus rubricollis,0.7
5,3,600831,Eubucco richardsoni,0.1
5,3,600854,Pteroglossus beauharnaesii,0.3
5,3,600884,Galbula albirostris,0.1
5,3,600893,Galbula dea,0.1
5,3,600912,Malacoptila rufa,0.1
5,3,600914,Malacoptila mystacalis,0.05
5,3,600915,Micromonacha lanceolata,0.1
5,3,600925,Monasa morphoeus,4.1
5,3,6001001,Pharomachrus pavoninus,0.4
5,3,6001056,Baryphthengus martii,0.5
5,3,6001305,Coccyzus euleri,0.05
5,3,6001312,Piaya cayana,0.05
5,3,6001554,Ara severus,0.1
5,3,6001569,Aratinga leucophthalma,5
5,3,6001594,Pyrrhura picta,2.3
5,3,6001618,Forpus modestus,0.5
5,3,6001640,Pionites leucogaster,0.5
5,3,6001652,Graydidascalus brachyurus,0.6
5,3,6001653,Pionus menstruus,1.7
5,3,6001685,Amazona farinosa,0.5
5,3,6001691,Deroptyus accipitrinus,0.1
5,3,6001756,Chaetura cinereiventris,
5,3,6001801,Threnetes leucurus,0.5
5,3,6001812,Phaethornis philippii,2.9
5,3,6001819,Phaethornis ruber,0.05
5,3,6001834,Campylopterus largipennis,0.4
5,3,6001844,Florisuga mellivora,0.2
5,3,6001899,Thalurania furcata,0.2
5,3,6002348,Nyctibius grandis,
5,3,6002395,Caprimulgus nigrescens,
5,3,6002484,Patagioenas cayennensis,0.2
5,3,6002582,Leptotila rufaxilla,0.1
5,3,6002602,Geotrygon montana,0.4
5,3,6002804,Psophia leucoptera,0.6
5,3,6003349,Harpagus bidentatus,0.3
5,3,6003490,Buteogallus urubitinga,0.05
5,3,6003499,Buteo magnirostris,0.05
5,3,6003504,Buteo brachyurus,0.05
5,3,6003563,Daptrius ater,0.1
5,3,6003564,Ibycter americanus,0.9
5,3,6003609,Falco rufigularis,0.1
5,3,6003818,Cathartes aura,0.05
5,3,6003820,Cathartes melambrotus,0.5
5,3,6004095,Corythopis torquatus,0.2
5,3,6004130,Myiopagis gaimardii,0.05
5,3,6004233,Platyrinchus platyrhynchos,0.1
5,3,6004235,Onychorhynchus coronatus,0.1
5,3,6004270,Contopus virens,0.9
5,3,6004345,Knipolegus poecilocercus,0.2
5,3,6004368,Attila citriniventris,0.05
5,3,6004378,Laniocera hypopyrra,0.05
5,3,6004405,Ramphotrigon ruficauda,0.05
5,3,6004414,Tyrannus savana,2.5
