SiteID,Study,Age,PF_SF,Point_obs,Mist_nets,Transect,Vocal,TaxonID,Species,Abundance,For_dep
1,1,0,PF,Yes,No,No,Yes,600234,Galloperdix bicalcarata,0.45,High
1,1,0,PF,Yes,No,No,Yes,600248,Gallus lafayetii,1.28,Low
1,1,0,PF,Yes,No,No,Yes,600721,Picus chlorolophus,0.05,Medium
1,1,0,PF,Yes,No,No,Yes,600739,Chrysocolaptes lucidus,0.38,Medium
1,1,0,PF,Yes,No,No,Yes,600767,Megalaima flavifrons,0.6,Medium
1,1,0,PF,Yes,No,No,Yes,600778,Megalaima rubricapillus,0.03,Medium
1,1,0,PF,Yes,No,No,Yes,600944,Ocyceros gingalensis,0.43,High
1,1,0,PF,Yes,No,No,Yes,6001023,Harpactes fasciatus,0.48,High
1,1,0,PF,Yes,No,No,Yes,6001256,Phaenicophaeus pyrrhocephalus,0.78,High
1,1,0,PF,Yes,No,No,Yes,6001289,Centropus chlororhynchus,0.38,High
1,1,0,PF,Yes,No,No,Yes,6001516,Loriculus beryllinus,0.38,Non-forest
1,1,0,PF,Yes,No,No,Yes,6001538,Psittacula calthropae,0.23,Medium
1,1,0,PF,Yes,No,No,Yes,6002279,Glaucidium castanonotum,0.08,High
1,1,0,PF,Yes,No,No,Yes,6002340,Batrachostomus moniliger,0.03,Medium
1,1,0,PF,Yes,No,No,Yes,6002465,Columba torringtoniae,0.05,Medium
1,1,0,PF,Yes,No,No,Yes,6002534,Chalcophaps indica,0.1,Medium
1,1,0,PF,Yes,No,No,Yes,6002635,Treron pompadora,0.05,High
1,1,0,PF,Yes,No,No,Yes,6002715,Ducula aenea,0.55,Medium
1,1,0,PF,Yes,No,No,Yes,6003390,Spilornis cheela,0.28,Medium
1,1,0,PF,Yes,No,No,Yes,6003529,Ictinaetus malayensis,0.08,High
1,1,0,PF,Yes,No,No,Yes,6005727,Urocissa ornata,1.95,High
1,1,0,PF,Yes,No,No,Yes,6005784,Corvus macrorhynchos,0.05,Medium
1,1,0,PF,Yes,No,No,Yes,6005972,Pericrocotus cinnamomeus,0.25,Medium
1,1,0,PF,Yes,No,No,Yes,6005980,Pericrocotus flammeus,0.13,Medium
1,1,0,PF,Yes,No,No,Yes,6006048,Dicrurus paradiseus,0.68,Medium
1,1,0,PF,Yes,No,No,Yes,6006071,Terpsiphone paradisi,0.43,Low
1,1,0,PF,Yes,No,No,Yes,6006147,Aegithina tiphia,0.15,Medium
1,1,0,PF,Yes,No,No,Yes,6006326,Zoothera spiloptera,0.83,Medium
1,1,0,PF,Yes,No,No,Yes,6006569,Cyornis tickelliae,0.38,Medium
1,1,0,PF,Yes,No,No,Yes,6006806,Sturnus albofrontatus,0.58,High
1,1,0,PF,Yes,No,No,Yes,6006840,Gracula ptilogenys,0.83,High
1,1,0,PF,Yes,No,No,Yes,6006841,Gracula religiosa,0.15,Medium
1,1,0,PF,Yes,No,No,Yes,6006898,Sitta frontalis,0.3,High
1,1,0,PF,Yes,No,No,Yes,6007180,Pycnonotus melanicterus,0.15,Medium
1,1,0,PF,Yes,No,No,Yes,6007288,Iole indica,0.08,Medium
1,1,0,PF,Yes,No,No,Yes,6007305,Hypsipetes leucocephalus,0.75,Medium
1,1,0,PF,Yes,No,No,Yes,6007453,Zosterops ceylonensis,0.75,High
1,1,0,PF,Yes,No,No,Yes,6007777,Garrulax cinereifrons,2.55,High
1,1,0,PF,Yes,No,No,Yes,6007848,Pellorneum fuscocapillus,0.88,Medium
1,1,0,PF,Yes,No,No,Yes,6007935,Rhopocichla atriceps,0.3,Low
1,1,0,PF,Yes,No,No,Yes,6007959,Turdoides rufescens,5.3,Medium
1,1,0,PF,Yes,No,No,Yes,6008198,Dicaeum vincens,0.4,High
1,1,0,PF,Yes,No,No,Yes,6008411,Motacilla flava,0.05,Non-forest
1,1,0,PF,Yes,No,No,Yes,60032154,Zoothera dauma,0.03,Medium
1,1,0,PF,Yes,No,No,Yes,60032261,Chloropsis cochinchinensis,0.13,Medium
1,1,0,PF,Yes,No,No,Yes,60032518,Pomatorhinus horsfieldii,0.3,Medium
2,1,5,SF,Yes,No,No,Yes,600248,Gallus lafayetii,0.03,Low
2,1,5,SF,Yes,No,No,Yes,600738,Dinopium benghalense,0.15,Medium
2,1,5,SF,Yes,No,No,Yes,600758,Megalaima zeylanica,0.15,Medium
2,1,5,SF,Yes,No,No,Yes,600778,Megalaima rubricapillus,0.2,Medium
2,1,5,SF,Yes,No,No,Yes,6001182,Merops leschenaulti,0.15,Medium
2,1,5,SF,Yes,No,No,Yes,6001282,Centropus sinensis,0.25,Low
