SiteID,StudyID,Age,PF_SF,Cont_F,Point_obs,Mist_nets,Transect,Vocal,Samp_Meth,No_Methods,Sp_R,,,,
1,1,,PF,,1,0,0,1,"Point obs, vocalisations",2,46,,,,
2,1,5,SF,No,1,0,0,1,"Point obs, vocalisations",2,32,,,,
3,2,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",3,141,,,,
4,2,7.5,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",3,55,,,,
5,3,,PF,,1,0,0,0,Point obs,1,133,,,,
6,3,1,SF,Yes,1,0,0,0,Point obs,1,145,,,,
7,4,,PF,,0,1,0,0,Mist nets,1,50,,,,
8,4,3,SF,Unk,0,1,0,0,Mist nets,1,58,,,,
9,4,11.5,SF,Unk,0,1,0,0,Mist nets,1,63,,,,
10,5,,PF,,1,0,0,0,Point obs,1,50,,,,
11,5,2,SF,No,1,0,0,0,Point obs,1,59,,,,
12,5,5,SF,No,1,0,0,0,Point obs,1,62,,,,
13,6,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",3,51,,,,
14,6,4,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",3,55,,,,
18,8,,PF,,1,0,0,1,"Point obs, vocalisations",2,84,,,,
19,8,1,SF,No,1,0,0,1,"Point obs, vocalisations",2,47,,,,
20,8,5,SF,No,1,0,0,1,"Point obs, vocalisations",2,67,,,,
21,8,10,SF,No,1,0,0,1,"Point obs, vocalisations",2,66,,,,
22,8,25,SF,No,1,0,0,1,"Point obs, vocalisations",2,75,,,,
23,8,100,SF,No,1,0,0,1,"Point obs, vocalisations",2,83,,,,
24,9,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",1,156,,,,
25,9,5,SF,No,1,1,0,1,"Point obs, vocalisations, mist nets",1,202,,,,
26,9,30,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",1,96,,,,
29,11,,PF,,1,1,0,1,"Point obs, vocalisations, mist nets",3,29,,,,
30,11,40,SF,Yes,1,1,0,1,"Point obs, vocalisations, mist nets",3,29,,,,
31,12,,PF,,1,1,1,1,"Line transect, point obs, vocalisations, mist nets",4,179,,,,
32,12,16.5,SF,Yes,1,1,1,1,"Line transect, point obs, vocalisations, mist nets",4,125,,,,
33,13,,PF,,1,0,0,1,"Point obs, vocalisations",2,125,,,,
34,13,17.5,SF,Unk,1,0,0,1,"Point obs, vocalisations",2,140,,,,
35,14,,PF,,0,0,1,1,"Line transect - Observation, vocalisations",2,108,,,,
