SiteID,StudyID,Latitude,Longitude
2,1,6.4,80.45
4,2,-12.65,-73.73
6,3,-3.53,-65
8,4,-0.1,-70.13
9,4,-0.1,-70.13
11,5,19.5,-105.05
12,5,19.5,-105.05
14,6,15.38,-90.06
19,8,23.6,92.36
20,8,23.6,92.36
21,8,23.6,92.36
22,8,23.6,92.36
23,8,23.6,92.36
25,9,10.42,-84.02
26,9,10.42,-84.02
30,11,-1.08,120.27
32,12,-0.46,-52.7
34,13,0.1,-78.65
36,14,-1.69,-61.58
37,14,-1.69,-61.58
38,14,-1.69,-61.58
40,15,0.24,6.6
42,16,1.61,7.4
48,18,-30.47,30.43
52,20,0.5,32.92
54,21,-5.23,145.17
56,22,10.17,118.92
57,22,10.17,118.92
61,24,-7.87,147.62
63,25,-21.45,-48.38
65,26,8.79,-82.96
67,27,8.65,77.37
68,27,8.65,77.37
70,28,-1.11,116.82
72,29,0.25,34.87
74,30,0,-78.68
75,30,0,-78.68
76,30,0,-78.68
78,31,-1.54,-80.7
82,33,-1.48,120.19
83,33,-1.48,120.19
84,33,-1.48,120.19
86,34,-6.57,145.11
87,34,-6.57,145.11
