,Variable,Random_effects,No_Ran_effects,AICc,Rank
6,SpR,Study,1,36.93705877,1
4,SpR,Mist_nets+Transect+Study,2,39.50604881,2
5,SpR,Mist_nets+Study,2,39.50604881,3
3,SpR,Mist nets+ Transect+Vocal+Study,3,42.19209068,4
2,SpR,Mist nets+Transect+Vocal+Study,4,45.05875735,5
1,SpR,Point obs+Mist nets+Transect+Vocal+Study,5,48.09405147,6
12,Shan_div,Study,1,-66.19124056,1
24,FDpg,Study,1,18.15588081,1
22,FDpg,Mist_nets+Transect+Study,2,20.72487085,2
23,FDpg,Mist_nets+Study,2,20.72487085,3
21,FDpg,Mist nets+ Transect+Vocal+Study,3,23.4199618,4
20,FDpg,Mist nets+Transect+Vocal+Study,4,26.28662847,5
19,FDpg,Point obs+Mist nets+Transect+Vocal+Study,5,29.32192259,6
36,FRic,Study,1,214.1520551,1
34,FRic,Mist_nets+Transect+Study,2,216.7210452,2
35,FRic,Mist_nets+Study,2,216.7210452,3
33,FRic,Mist nets+ Transect+Vocal+Study,3,219.4327569,4
32,FRic,Mist nets+Transect+Vocal+Study,4,222.2994235,5
31,FRic,Point obs+Mist nets+Transect+Vocal+Study,5,225.3347176,6
42,FEve,Study,1,-43.56993133,1
41,FEve,Mist_nets+Study,2,-41.00094129,2
40,FEve,Mist_nets+Transect+Study,2,-41.00094129,3
39,FEve,Mist nets+ Transect+Vocal+Study,3,-38.28922958,4
38,FEve,Mist nets+Transect+Vocal+Study,4,-36.25681106,5
37,FEve,Point obs+Mist nets+Transect+Vocal+Study,5,-33.22151694,6
48,FDiv,Study,1,-99.51842555,1
46,FDiv,Mist_nets+Transect+Study,2,-96.94943551,2
47,FDiv,Mist_nets+Study,2,-96.94943551,3
45,FDiv,Mist nets+ Transect+Vocal+Study,3,-94.23840715,4
44,FDiv,Mist nets+Transect+Vocal+Study,4,-91.37174048,5
43,FDiv,Point obs+Mist nets+Transect+Vocal+Study,5,-88.33644637,6
54,FDis,Study,1,-43.31998708,1
53,FDis,Mist_nets+Study,2,-40.92654692,2
52,FDis,Mist_nets+Transect+Study,2,-40.8142097,3
51,FDis,Mist nets+ Transect+Vocal+Study,3,-38.73179654,4
50,FDis,Mist nets+Transect+Vocal+Study,4,-35.86512987,5
49,FDis,Point obs+Mist nets+Transect+Vocal+Study,5,-32.82983575,6
